================ Training Loss (Sun Sep 21 20:17:24 2025) ================
(Train - epoch: 2 | iters: 45/106 | time: 0.187) l_pix: 1.086042 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000008 l_poly: 0.000073 l_landmark: 111.627563 l_tot: 112.713692 
(Train - epoch: 2 | iters: 50/106 | time: 0.193) l_pix: 1.288908 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000032 l_landmark: 120.160439 l_tot: 121.449387 
(Train - epoch: 2 | iters: 55/106 | time: 0.193) l_pix: 1.076290 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000015 l_landmark: 78.157883 l_tot: 79.234184 
(Train - epoch: 2 | iters: 60/106 | time: 0.213) l_pix: 1.045353 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000013 l_landmark: 69.309845 l_tot: 70.355209 
(Train - epoch: 2 | iters: 65/106 | time: 0.197) l_pix: 1.086519 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000028 l_landmark: 190.643204 l_tot: 191.729752 
(Train - epoch: 2 | iters: 70/106 | time: 0.189) l_pix: 1.097761 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000015 l_landmark: 113.250710 l_tot: 114.348488 
(Train - epoch: 2 | iters: 75/106 | time: 0.197) l_pix: 1.117755 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000008 l_landmark: 62.299442 l_tot: 63.417206 
(Train - epoch: 2 | iters: 80/106 | time: 0.191) l_pix: 1.116992 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000027 l_landmark: 134.853775 l_tot: 135.970795 
(Train - epoch: 2 | iters: 85/106 | time: 0.186) l_pix: 1.120980 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000010 l_landmark: 143.487732 l_tot: 144.608734 
(Train - epoch: 2 | iters: 90/106 | time: 0.185) l_pix: 1.123694 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000041 l_landmark: 106.195198 l_tot: 107.318939 
(Train - epoch: 2 | iters: 95/106 | time: 0.189) l_pix: 1.052942 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000018 l_landmark: 99.946434 l_tot: 100.999390 
(Train - epoch: 2 | iters: 100/106 | time: 0.189) l_pix: 1.069133 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000012 l_landmark: 74.157761 l_tot: 75.226906 
(Train - epoch: 2 | iters: 105/106 | time: 0.187) l_pix: 1.053238 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000002 l_poly: 0.000010 l_landmark: 59.413559 l_tot: 60.466808 
(Train - epoch: 3 | iters: 5/106 | time: 0.189) l_pix: 1.134501 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000004 l_poly: 0.000027 l_landmark: 136.056320 l_tot: 137.190857 
(Train - epoch: 3 | iters: 10/106 | time: 0.196) l_pix: 1.082364 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000016 l_landmark: 210.729294 l_tot: 211.811676 
(Train - epoch: 3 | iters: 15/106 | time: 0.186) l_pix: 1.056347 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000003 l_poly: 0.000017 l_landmark: 121.003326 l_tot: 122.059692 
(Train - epoch: 3 | iters: 20/106 | time: 0.192) l_pix: 1.086519 l_pixel: 0.000000 l_ssim: 0.000000 l_smt: 0.000001 l_poly: 0.000009 l_landmark: 173.158401 l_tot: 174.244934 
